 GapName  E0TL[MeV]   phase[deg]   pos[m]    
LI_S14A:RG01  +1.099992  +153.00    101.847962
LI_S14A:RG02  +1.100185  +153.00    102.331477
LI_S14A:RG03  +1.100059  +153.00    102.816098
LI_S14A:RG04  +1.099921  +153.00    103.301871
LI_S14A:RG05  +1.100073  +153.00    103.788788
LI_S14B:RG01  +1.099296  +153.00    105.253132
LI_S14B:RG02  +1.099418  +153.00    105.742291
LI_S14B:RG03  +1.099218  +153.00    106.232552
LI_S14B:RG04  +1.099001  +153.00    106.723933
LI_S14B:RG05  +1.099077  +153.00    107.216443
LI_S15A:RG01  +1.098343  +153.00    108.697569
LI_S15A:RG02  +1.098395  +153.00    109.192228
LI_S15A:RG03  +1.098126  +153.00    109.687966
LI_S15A:RG04  +1.097852  +153.00    110.184758
LI_S15A:RG05  +1.097869  +153.00    110.682663
LI_S15B:RG01  +1.096973  +153.00    112.180002
LI_S15B:RG02  +1.096967  +153.00    112.680043
LI_S15B:RG03  +1.096650  +153.00    113.181132
LI_S15B:RG04  +1.096321  +153.00    113.683275
LI_S15B:RG05  +1.096275  +153.00    114.186459
LI_S16A:RG01  +1.095210  +153.00    115.699247
LI_S16A:RG02  +1.095148  +153.00    116.204495
LI_S16A:RG03  +1.094780  +153.00    116.710777
LI_S16A:RG04  +1.094399  +153.00    117.218085
LI_S16A:RG05  +1.094300  +153.00    117.726415
LI_S16B:RG01  +1.093304  +153.00    119.254667
LI_S16B:RG02  +1.093195  +153.00    119.765025
LI_S16B:RG03  +1.092781  +153.00    120.276391
LI_S16B:RG04  +1.092353  +153.00    120.788758
LI_S16B:RG05  +1.092208  +153.00    121.302122
LI_MEBT2:BNCH01:Rg01  +0.197978  +90.00    126.421226
LI_MEBT2:BNCH01:Rg02  +0.197978  +90.00    126.506969
LI_MEBT2:BNCH01:Rg03  +0.197978  +90.00    126.592712
LI_MEBT2:BNCH01:Rg04  +0.197978  +90.00    126.678455
LI_MEBT2:BNCH01:Rg05  +0.197978  +90.00    126.764198
LI_MEBT2:BNCH01:Rg06  +0.197978  +90.00    127.278657
LI_MEBT2:BNCH01:Rg07  +0.197978  +90.00    127.364400
LI_MEBT2:BNCH01:Rg08  +0.197978  +90.00    127.450143
LI_MEBT2:BNCH01:Rg09  +0.197978  +90.00    127.535886
LI_MEBT2:BNCH01:Rg10  +0.197978  +90.00    127.621629
LI_MEBT2:BNCH02:Rg01  +0.261541  +90.00    132.255738
LI_MEBT2:BNCH02:Rg02  +0.261541  +90.00    132.341482
LI_MEBT2:BNCH02:Rg03  +0.261541  +90.00    132.427225
LI_MEBT2:BNCH02:Rg04  +0.261541  +90.00    132.512968
LI_MEBT2:BNCH02:Rg05  +0.261541  +90.00    132.598711
LI_MEBT2:BNCH02:Rg06  +0.261541  +90.00    133.113170
LI_MEBT2:BNCH02:Rg07  +0.261541  +90.00    133.198913
LI_MEBT2:BNCH02:Rg08  +0.261541  +90.00    133.284656
LI_MEBT2:BNCH02:Rg09  +0.261541  +90.00    133.370399
LI_MEBT2:BNCH02:Rg10  +0.261541  +90.00    133.456142
LI_ACS01A:RG01  +0.296598  +148.24    137.088876
LI_ACS01A:RG02  +0.296598  +148.91    137.174981
LI_ACS01A:RG03  +0.296598  +149.50    137.261086
LI_ACS01A:RG04  +0.296598  +149.99    137.347192
LI_ACS01A:RG05  +0.296598  +150.39    137.433297
LI_ACS01A:RG06  +0.296598  +150.70    137.519402
LI_ACS01A:RG07  +0.296598  +150.92    137.605507
LI_ACS01A:RG08  +0.296598  +151.05    137.691612
LI_ACS01A:RG09  +0.296598  +151.09    137.777718
LI_ACS01A:RG10  +0.296598  +151.04    137.863823
