z[m]        G0[T/m]       G1[T/m] 
     1.56234553        0.000000      0.000000 
     1.56535004        0.000000      0.000000 
     1.56835455        0.000000      0.000000 
     1.57135906        0.000000      0.000000 
     1.57436357        0.000000      0.000000 
     1.57736808        0.000000      0.000000 
     1.58037259        0.000000      0.000000 
     1.58337710        0.000000      0.000000 
     1.58638161        0.000000      0.000000 
     1.58938613        0.000000      0.000000 
     1.59239064        0.000000      0.000000 
     1.59539515        0.000000      0.000000 
     1.59839966        0.000000      0.000000 
     1.60140417        0.000000      0.000000 
     1.60440868        0.000000      0.000000 
     1.60741319        0.000000      0.000000 
     1.61041770        0.000000      0.000000 
     1.61342221        0.000000      0.000000 
     1.61642672        0.000000      0.000000 
     1.61943123        0.000000      0.000000 
     1.62243574        0.000000      0.000000 
     1.62544025        0.000000      0.000000 
     1.62844476        0.000000      0.000000 
     1.63144927        0.000000      0.000000 
     1.63445378        0.000000      0.000000 
     1.63745830        0.000000      0.000000 
     1.64046281        0.000000      0.000000 
     1.64346732        0.000000      0.000000 
     1.64647183        0.000000      0.000000 
     1.64947634        0.000000      0.000000 
     1.65248085        0.000000      0.000000 
     1.65548536        0.000000      0.000000 
     1.65848987        0.000000      0.000000 
     1.66149438        0.000000      0.000000 
     1.66449889        0.000000      0.000000 
     1.66750340        0.000000      0.000000 
     1.67050791        0.000000      0.000000 
     1.67351242        0.000000      0.000000 
     1.67651693        0.000000      0.000000 
     1.67952144        0.000000      0.000000 
     1.68252596        0.000000      0.000000 
     1.68553047        0.000000      0.000000 
     1.68853498        0.000000      0.000000 
     1.69153949        0.000000      0.000000 
     1.69454400        0.000000      0.000000 
     1.69754851        0.000000      0.000000 
     1.70055302        0.000000      0.000000 
     1.70355753        0.000000      0.000000 
     1.70656204        0.000000      0.000000 
     1.70956655        0.000000      0.000000 
     1.71257106        0.000000      0.000000 
     1.71557557        0.000000      0.000000 
     1.71858008        0.000000      0.000000 
     1.72158459        0.000000      0.000000 
     1.72458910        0.000000      0.000000 
     1.72759361        0.000000      0.000000 
     1.73059813        0.000000      0.000000 
     1.73360264        0.000000      0.000000 
     1.73660715        0.000000      0.000000 
     1.73961166        0.000000      0.000000 
     1.74261617        0.000000      0.000000 
     1.74562068        0.000000      0.000000 
     1.74862519        0.000000      0.000000 
     1.75162970        0.000000      0.000000 
     1.75463421        0.000000      0.000000 
     1.75763872        0.000000      0.000000 
     1.76064323        0.000000      0.000000 
     1.76364774        0.000000      0.000000 
     1.76665225        0.000000      0.000000 
     1.76965676        0.000000      0.000000 
     1.77266127        0.000000      0.000000 
     1.77566578        0.000000      0.000000 
     1.77867030        0.000000      0.000000 
     1.78167481        0.000000      0.000000 
     1.78467932        0.000000      0.000000 
     1.78768383        0.000000      0.000000 
     1.79068834        0.000000      0.000000 
     1.79369285        0.000000      0.000000 
     1.79669736        0.000000      0.000000 
     1.79970187        0.000000      0.000000 
     1.80270638        0.000000      0.000000 
     1.80571089        0.000000      0.000000 
     1.80871540        0.000000      0.000000 
     1.81171991        0.000000      0.000000 
     1.81472442        0.000000      0.000000 
     1.81772893        0.000000      0.000000 
     1.82073344        0.000000      0.000000 
     1.82373795        0.000000      0.000000 
     1.82674247        0.000000      0.000000 
     1.82974698        0.000000      0.000000 
     1.83275149        0.000000      0.000000 
     1.83575600        0.000000      0.000000 
     1.83876051        0.000000      0.000000 
     1.84176502        0.000000      0.000000 
     1.84476953        0.000000      0.000000 
     1.84777404        0.000000      0.000000 
     1.85077855        0.000000      0.000000 
     1.85378306        0.000000      0.000000 
     1.85678757        0.000000      0.000000 
     1.85979208        0.000000      0.000000 
