z[m]        G0[T/m]       G1[T/m] 
     1.40156627      -65.161534    -65.059712 
     1.40456748      -65.161534    -65.041728 
     1.40756869      -65.161534    -64.879724 
     1.41056990      -65.161534    -64.428339 
     1.41357112      -65.161534    -63.258015 
     1.41657233      -65.161534    -60.274568 
     1.41957354      -65.161534    -53.312678 
     1.42257475      -65.161534    -40.432363 
     1.42557597        0.000000    -24.323898 
     1.42857718        0.000000    -11.636798 
     1.43157839        0.000000     -4.850021 
     1.43457960        0.000000     -1.952521 
     1.43758082        0.000000     -0.810396 
     1.44058203        0.000000      0.000000 
     1.44358324        0.000000      0.000000 
     1.44658445        0.000000      0.000000 
     1.44958567        0.000000      0.000000 
     1.45258688        0.000000      0.000000 
     1.45558809        0.000000      0.000000 
     1.45858930        0.000000      0.000000 
     1.46159052        0.000000      0.000000 
     1.46459173        0.000000      0.000000 
     1.46759294        0.000000      1.263953 
     1.47059415        0.000000      3.111472 
     1.47359537        0.000000      7.673192 
     1.47659658        0.000000     17.369344 
     1.47959779       64.504130     32.426553 
     1.48259900       64.504130     47.432916 
     1.48560022       64.504130     57.040919 
     1.48860143       64.504130     61.543919 
     1.49160264       64.504130     63.360632 
     1.49460385       64.504130     64.064694 
     1.49760507       64.504130     64.331878 
     1.50060628       64.504130     64.409379 
     1.50360749       64.504130     64.364818 
     1.50660870       64.504130     64.159649 
     1.50960992       64.504130     63.607149 
     1.51261113       64.504130     62.177947 
     1.51561234       64.504130     58.572502 
     1.51861356       64.504130     50.466137 
     1.52161477       64.504130     36.543583 
     1.52461598        0.000000     20.810660 
     1.52761719        0.000000      9.563927 
     1.53061841        0.000000      3.924503 
     1.53361962        0.000000      1.584139 
     1.53662083        0.000000      0.665150 
     1.53962204        0.000000      0.000000 
     1.54262326        0.000000      0.000000 
     1.54562447        0.000000      0.000000 
     1.54862568        0.000000      0.000000 
     1.55162689        0.000000      0.000000 
     1.55462811        0.000000      0.000000 
     1.55762932        0.000000      0.000000 
     1.56063053        0.000000      0.000000 
     1.56363174        0.000000      0.000000 
     1.56663296        0.000000     -0.990836 
     1.56963417        0.000000     -2.415450 
     1.57263538        0.000000     -5.994451 
     1.57563659        0.000000    -14.032414 
     1.57863781        0.000000    -27.827904 
     1.58163902      -63.880299    -43.405939 
     1.58464023      -63.880299    -54.534110 
     1.58764144      -63.880299    -60.109780 
     1.59064266      -63.880299    -62.419172 
     1.59364387      -63.880299    -63.318148 
     1.59664508      -63.880299    -63.663161 
     1.59964629      -63.880299    -63.778537 
     1.60264751      -63.880299    -63.766245 
     1.60564872      -63.880299    -63.615704 
     1.60864993      -63.880299    -63.192218 
     1.61165114      -63.880299    -62.093540 
     1.61465236      -63.880299    -59.288026 
     1.61765357      -63.880299    -52.697116 
     1.62065478      -63.880299    -40.327523 
     1.62365599        0.000000    -24.537835 
     1.62665721        0.000000    -11.844102 
     1.62965842        0.000000     -4.955463 
     1.63265963        0.000000     -1.994629 
     1.63566085        0.000000     -0.826029 
     1.63866206        0.000000      0.000000 
     1.64166327        0.000000      0.000000 
     1.64466448        0.000000      0.000000 
     1.64766570        0.000000      0.000000 
     1.65066691        0.000000      0.000000 
     1.65366812        0.000000      0.000000 
     1.65666933        0.000000      0.000000 
     1.65967055        0.000000      0.000000 
     1.66267176        0.000000      0.000000 
     1.66567297        0.000000      0.000000 
     1.66867418        0.000000      1.191855 
     1.67167540        0.000000      2.929645 
     1.67467661        0.000000      7.235786 
     1.67767782        0.000000     16.484250 
     1.68067903        0.000000     31.108069 
     1.68368025       63.351900     46.002119 
     1.68668146       63.351900     55.714145 
     1.68968267       63.351900     60.314760 
     1.69268388       63.351900     62.178181 
     1.69568510       63.351900     62.900765 
     1.69868631       63.351900     63.175693 
     1.70168752       63.351900     63.258064 
     1.70468873       63.351900     63.219889 
     1.70768995       63.351900     63.028184 
     1.71069116       63.351900     62.509003 
     1.71369237       63.351900     61.165428 
     1.71669358       63.351900     57.767417 
     1.71969480       63.351900     50.063116 
     1.72269601       63.351900     36.615161 
     1.72569722        0.000000     21.090037 
     1.72869843        0.000000      9.769721 
     1.73169965        0.000000      4.020316 
     1.73470086        0.000000      1.621527 
     1.73770207        0.000000      0.679144 
     1.74070328        0.000000      0.000000 
     1.74370450        0.000000      0.000000 
     1.74670571        0.000000      0.000000 
     1.74970692        0.000000      0.000000 
     1.75270813        0.000000      0.000000 
     1.75570935        0.000000      0.000000 
     1.75871056        0.000000      0.000000 
     1.76171177        0.000000      0.000000 
     1.76471299        0.000000      0.000000 
     1.76771420        0.000000      0.000000 
     1.77071541        0.000000     -0.900692 
     1.77371662        0.000000     -2.188957 
     1.77671784        0.000000     -5.436323 
     1.77971905        0.000000    -12.823399 
     1.78272026        0.000000    -25.822643 
     1.78572147      -61.792200    -40.996762 
     1.78872269      -61.792200    -52.176323 
     1.79172390      -61.792200    -57.891207 
     1.79472511      -61.792200    -60.278713 
     1.79772632      -61.792200    -61.209717 
     1.80072754      -61.792200    -61.567664 
     1.80372875      -61.792200    -61.690318 
     1.80672996      -61.792200    -61.686520 
     1.80973117      -61.792200    -61.553000 
     1.81273239      -61.792200    -61.170808 
     1.81573360      -61.792200    -60.178097 
     1.81873481      -61.792200    -57.637211 
     1.82173602      -61.792200    -51.608068 
     1.82473724      -61.792200    -40.043598 
     1.82773845        0.000000    -24.803791 
     1.83073966        0.000000    -12.146284 
     1.83374087        0.000000     -5.115127 
     1.83674209        0.000000     -2.058923 
     1.83974330        0.000000     -0.849770 
     1.84274451        0.000000      0.000000 
     1.84574572        0.000000      0.000000 
     1.84874694        0.000000      0.000000 
     1.85174815        0.000000      0.000000 
     1.85474936        0.000000      0.000000 
     1.85775057        0.000000      0.000000 
     1.86075179        0.000000      0.000000 
     1.86375300        0.000000      0.000000 
     1.86675421        0.000000      0.000000 
     1.86975542        0.000000      0.000000 
     1.87275664        0.000000      0.000000 
     1.87575785        0.000000      1.093677 
     1.87875906        0.000000      2.682655 
     1.88176027        0.000000      6.637262 
     1.88476149        0.000000     15.243886 
     1.88776270        0.000000     29.176748 
     1.89076391       61.353300     43.781599 
     1.89376513       61.353300     53.543531 
     1.89676634       61.353300     58.236498 
     1.89976755       61.353300     60.148026 
     1.90276876       61.353300     60.889915 
     1.90576998       61.353300     61.173030 
     1.90877119       61.353300     61.261062 
     1.91177240       61.353300     61.231188 
