 rf_gap   eKinIn[MeV] eKinOut[MeV]  beta_avg 
LI_MEBT2:BNCH01:Rg07    190.723888  190.724601     0.55594331
LI_MEBT2:BNCH01:Rg08    190.724601  190.725377     0.55594413
LI_MEBT2:BNCH01:Rg09    190.725377  190.726215     0.55594502
LI_MEBT2:BNCH01:Rg10    190.726215  190.727114     0.55594597
LI_MEBT2:BNCH02:Rg01    190.727114  190.727114     0.55594647
LI_MEBT2:BNCH02:Rg02    190.727114  190.727193     0.55594651
LI_MEBT2:BNCH02:Rg03    190.727193  190.727351     0.55594664
LI_MEBT2:BNCH02:Rg04    190.727351  190.727588     0.55594686
LI_MEBT2:BNCH02:Rg05    190.727588  190.727903     0.55594716
LI_MEBT2:BNCH02:Rg06    190.727903  190.728685     0.55594777
LI_MEBT2:BNCH02:Rg07    190.728685  190.729544     0.55594867
LI_MEBT2:BNCH02:Rg08    190.729544  190.730478     0.55594965
LI_MEBT2:BNCH02:Rg09    190.730478  190.731485     0.55595072
LI_MEBT2:BNCH02:Rg10    190.731485  190.732565     0.55595187
LI_ACS01A:RG01    190.732565  190.984737     0.55609109
LI_ACS01A:RG02    190.984737  191.238758     0.55636911
LI_ACS01A:RG03    191.238758  191.494356     0.55664868
LI_ACS01A:RG04    191.494356  191.751268     0.55692951
LI_ACS01A:RG05    191.751268  192.009241     0.55721130
LI_ACS01A:RG06    192.009241  192.268031     0.55749379
LI_ACS01A:RG07    192.268031  192.527401     0.55777670
LI_ACS01A:RG08    192.527401  192.787118     0.55805978
LI_ACS01A:RG09    192.787118  193.046953     0.55834278
LI_ACS01A:RG10    193.046953  193.306678     0.55862544
LI_ACS01A:RG11    193.306678  193.566066     0.55890752
LI_ACS01A:RG12    193.566066  193.824885     0.55918877
LI_ACS01A:RG13    193.824885  194.082902     0.55946895
LI_ACS01A:RG14    194.082902  194.339877     0.55974780
LI_ACS01A:RG15    194.339877  194.595563     0.56002506
LI_ACS01A:RG16    194.595563  194.849706     0.56030046
LI_ACS01A:RG17    194.849706  195.102040     0.56057374
LI_ACS01B:RG01    195.102040  195.357184     0.56084724
LI_ACS01B:RG02    195.357184  195.614134     0.56112291
LI_ACS01B:RG03    195.614134  195.872622     0.56140005
LI_ACS01B:RG04    195.872622  196.132391     0.56167838
LI_ACS01B:RG05    196.132391  196.393193     0.56195762
LI_ACS01B:RG06    196.393193  196.654788     0.56223751
LI_ACS01B:RG07    196.654788  196.916944     0.56251779
LI_ACS01B:RG08    196.916944  197.179433     0.56279821
LI_ACS01B:RG09    197.179433  197.442028     0.56307854
LI_ACS01B:RG10    197.442028  197.704508     0.56335853
LI_ACS01B:RG11    197.704508  197.966646     0.56363794
LI_ACS01B:RG12    197.966646  198.228218     0.56391653
LI_ACS01B:RG13    198.228218  198.488992     0.56419408
LI_ACS01B:RG14    198.488992  198.748733     0.56447032
LI_ACS01B:RG15    198.748733  199.007199     0.56474502
LI_ACS01B:RG16    199.007199  199.264139     0.56501791
LI_ACS01B:RG17    199.264139  199.519291     0.56528874
LI_ACS02A:RG01    199.519291  199.759213     0.56555027
LI_ACS02A:RG02    199.759213  200.003568     0.56580581
LI_ACS02A:RG03    200.003568  200.251963     0.56606554
LI_ACS02A:RG04    200.251963  200.504021     0.56632903
LI_ACS02A:RG05    200.504021  200.759385     0.56659590
LI_ACS02A:RG06    200.759385  201.017716     0.56686575
LI_ACS02A:RG07    201.017716  201.278694     0.56713823
LI_ACS02A:RG08    201.278694  201.542016     0.56741302
LI_ACS02A:RG09    201.542016  201.807395     0.56768978
LI_ACS02A:RG10    201.807395  202.074559     0.56796822
LI_ACS02A:RG11    202.074559  202.343250     0.56824806
LI_ACS02A:RG12    202.343250  202.613224     0.56852903
LI_ACS02A:RG13    202.613224  202.884246     0.56881088
